© 2000-2024 QIAGEN. All rights reserved.

Upstream Regulator	Molecule Type	p-value of overlap	Target Molecules in Dataset	Mechanistic Network
beta-estradiol	chemical - endogenous mammalian	1.06E-03	A4GALT,ABL1,AGR3,AKAP10,AKT3,ALG1,ALG2,ALG3,ALG5,ALG9,AP1B1,AP1G1,AP1S1,AP3B2,AP3D1,ARAF,ARF5,ARHGEF2,ARPC1B,ARPC4,ATXN3,B3GNT7,B4GALT1,BAG1,BAK1,BAX,BCL2,BCL2L11,BICD1,CALM1 (includes others),CALR,CAPN12,CAPN13,CAPN2,CCT2,CHST8,CRYAA/LOC102724652,CYTH3,CYTH4,DDIT3,DDOST,DERL1,DNAJC1,DNAJC3,DPM2,DPM3,EIF2S1,EXT2,FMO1,FOXO1,FUCA1,FUT8,GALNT1,GALNT7,GANAB,GCNT4,GLB1,GNPTAB,GOSR2,HAS1,HAS2,HERPUD1,HMGCR,HS3ST5,HSP90AB1,HSP90B1,HSPA2,HSPA4,HSPA5,HSPA8,HSPA9,HSPB1,HSPB8,HSPH1,IGF1R,IRS1,KCNN2,KDELR2,KDELR3,MAN1A2,MANBA,MAPK10,MAPK8,MBTPS1,MGAT1,MGAT3,MGAT5,MICAL2,MOGS,MTOR,MYO5B,NCOA3,NEDD4L,NET1,P4HB,PAK1,PDIA3,PDIA4,PGRMC1,PLAA,PLIN2,PPIB,PRDX4,PREB,PSD,PSMA1,PSMA2,PSMB1,PSMB2,PSMC3,PTPN1,QSOX1,RAB11FIP1,RAB2A,RAB31,RAB5C,RAB6A,RAB7A,RAB9A,RACK1,RER1,ROCK1,RPN1,RPN2,RYR2,RYR3,SDF2L1,SGSM2,SIAH2,SLC33A1,SNAP25,SORCS1,SORCS3,SPCS2,SRP54,SSR1,SSR2,SSR3,ST6GAL1,ST6GALNAC4,ST8SIA1,ST8SIA4,STT3A,STX3,TBC1D9,TMED9,TNFRSF10B,TNK2,TP53,TRAM1,TRIM25,TRPV1,TRPV2,UBA5,UGT8,USP19,VAMP1,VAMP2,VAMP8,VAPA,VPS11,WDR38,XBP1	451 (13)
brefeldin A	chemical - endogenous non-mammalian	1.09E-03	ATP2A2,BCL2,DDIT3,ERLEC1,HSPA5,HSPA9,SYVN1,UBA5,UFM1	226 (11)
bafilomycin A1	chemical drug	1.09E-03	ATG5,AXL,DDIT3,FOXO1,HSP90AA1,HSP90AB1,HSP90B1,HSPA8,IRS1	364 (12)
lactacystin	chemical - protease inhibitor	1.13E-03	ATP2A3,BAG3,BAK1,CCT2,CRYAB,DDIT3,FOXO1,HSP90B1,HSPA5,HSPB1,HSPB8,IRS1,OPTN,PDIA2,PPIA,SIAH1,TNFRSF10B,TP53,UBE2N	348 (12)
ANXA7	ion channel	1.18E-03	ARAF,DAD1,DDIT3,ITPR1,ITPR2,ITPR3,PML,RAD23A,RAD23B,TSG101	 
vincristine	chemical drug	1.19E-03	AKT1,AKT2,BCL2,HSP90AB1,MAP2K7,MAPK8,MAPK9,TP53	201 (7)
mir-30 (includes others)	microRNA	1.22E-03	BAX,BECN1,GALNT7,NEDD4L,RAB38,SNAP23,TP53,TXNDC5,UGT8	217 (6)
MAP1LC3B	other	1.25E-03	ATF6,CTSA,DDIT3,STX17	 
CYB5R4	enzyme	1.29E-03	ATF6,DDIT3,EIF2S1,HSPA5,XBP1	161 (4)
PIK3R1	kinase	1.31E-03	ATF4,BCL2,DDIT3,DNAJB9,DNAJC3,ERN1,FOXO1,HSP90B1,HSPA5,PIK3CA,XBP1	222 (9)
CALR	transcription regulator	1.36E-03	ATP2A2,B4GALT1,CALR,CASQ2,DDIT3,HSPA5,RYR2,TP53	 
NCAPG	other	1.42E-03	BAX,BCL2,TP53	 
CA39	chemical reagent	1.42E-03	AKT1,CTSA,HSPA8	 
RASSF3	other	1.42E-03	BAX,BCL2,TP53	 
Miat	other	1.42E-03	ATP2A2,FURIN,RYR2	 
PSMG1	other	1.42E-03	DDIT3,FOXO1,HSPA5	 
TP53RK	kinase	1.42E-03	PSMA3,PSMB5,PSMB7	 
ANKRD1	transcription regulator	1.42E-03	BCL2,DDIT3,RYR2	 
anlotinib	chemical drug	1.42E-03	BAK1,BAX,TP53	48 (3)
chlorambucil	chemical drug	1.42E-03	BAK1,BAX,TNFRSF10B	 
risedronic acid	chemical drug	1.42E-03	HMGCR,HSPA8,PDIA3	 
squalene	chemical - endogenous mammalian	1.42E-03	ATF4,DDIT3,HSPA5	160 (4)
NHB2005	chemical reagent	1.42E-03	ATF4,EIF2S1,ERN1	 
sparfosic acid	chemical drug	1.42E-03	BCL2,BCL2L11,TP53	197 (6)
gamma-secretase inhibitor compound E	chemical reagent	1.48E-03	FKBP4,HSP90AB1,HSPA4,HSPA8,HSPH1,TCP1	 
CD3 (complex)	complex	1.49E-03	ACTR3,AP1B1,ATF4,BCL2,BCL2L11,BECN1,CALM1 (includes others),CNIH4,COPB2,DAD1,FKBP1A,FKBP2,FKBP3,FUT7,HS2ST1,HSP90AA1,HSP90B1,HSPA1A/HSPA1B,HSPA5,HSPA8,ITPR1,KDELR2,P4HB,PDIA4,PLIN2,PPIL2,PRDX4,PSMA5,PSMA6,PSMC1,PSMD12,RAB2A,RAB8A,RAD23B,RNF103,SEC61B,SRP14,SRPRB,ST8SIA3,STX6,TMX3,TPST1,TRIM25,TRIM5	337 (10)
cisplatin	chemical drug	1.56E-03	A3GALT2,ABL1,ADRM1,AKT1,ANKFY1,ATF4,BAK1,BAX,BCL2,BCL2L11,BECN1,CAPN1,CAPN2,CAPN6,CHST7,DDIT3,DDOST,DNAJB9,EIF2AK3,EIF2S1,ERN1,EXOC6,HMGCR,HSPA4L,HSPA5,HSPA8,HSPA9,IGF1R,IQSEC2,MAPK8,MAPK9,MICALL2,PDCD6,PIK3C3,PIK3CA,PPIA,PSMA1,PSMB10,PSMB8,PSMD4,RAB11FIP1,RAB22A,RAB27B,RAB6A,RAB8B,RABGAP1,ROCK1,SEC61A1,ST6GAL1,TNFRSF10B,TNK2,TP53,TRAPPC13,TRIM22,TRPV1,UBE4B,ULK1,USP6NL,VPS54,XBP1	487 (15)
KL	enzyme	1.60E-03	ATF4,AXL,BAX,BCL2,CRYAA/LOC102724652,DDIT3,EIF2A,HSPA5,IRS1,XBP1	396 (12)
MTTP	transporter	1.62E-03	ATF6,EIF2AK3,EIF2S1,ERN1,HMGCR,HSPA5,XBP1	 
COL2A1	other	1.63E-03	ATF4,ATF6,DDIT3,HSPA5,XBP1	 
NACC1	transcription regulator	1.75E-03	BAX,BCL2,EIF2AK2,TP53	 
trehalose	chemical - endogenous mammalian	1.75E-03	ATG5,BAX,BCL2,BECN1	214 (5)
BCAP31	transporter	1.75E-03	ATF6,DDIT3,DERL1,EDEM1,ERN1,HSPA5,VCP,XBP1	145 (3)
miR-124-3p (and other miRNAs w/seed AAGGCAC)	mature microRNA	1.77E-03	AKT2,AP1M2,ARAF,ARFIP1,ARHGEF1,ARPC1B,B4GALT1,CHST14,CHSY1,DDIT3,DNAJC1,ERN1,MAN2A1,PLOD3,SEC11A,SERP1,STX10,STX2,SURF4,VAMP3,VPS37C	 
BAK1	transporter	1.78E-03	DNAJB2,DNAJB9,EDEM1,ERO1A,PDIA6,XBP1	141 (3)
RHO	G-protein coupled receptor	1.78E-03	AKT1,ARF4,ARHGDIA,ATF6,AXL,CAPN7,CHST2,COG6,DDIT3,DNAJB11,EIF2A,FKBP9,MLEC,PSMB9,PSMD11,PSME1,PSME4,SRP9,XBP1	 
PSEN1	peptidase	1.80E-03	ARF4,ARF5,ARF6,ATP2A2,AXL,BAX,CANX,CLTA,CLTB,CLTC,DNAJC5,EXTL2,FKBP1A,HMGCR,HSP90AA1,HSPA5,HSPA8,LFNG,MAPK8,MTOR,NAPB,PAK1,PPIA,RYR2,RYR3,SNAP25,STX1B,TNFRSF10B,TP53,VAMP2,VAMP3	314 (12)
VX-944	chemical drug	1.83E-03	BAK1,BAX	 
miR-127-5p inhibitor	chemical reagent	1.83E-03	BAX,BCL2	 
PCDH9	other	1.83E-03	BAX,BCL2	 
SGF29	other	1.83E-03	DDIT3,HSPA5	43 (5)
NCEH1	enzyme	1.83E-03	DDIT3,HSPA5	 
bucillamine	chemical drug	1.83E-03	BAX,BCL2	 
safflor yellow B	chemical - endogenous non-mammalian	1.83E-03	BAX,BCL2	47 (3)
SNCAIP	transcription regulator	1.83E-03	SIAH1,TP53	 
miR-155-3p (miRNAs w/seed UCCUACC)	mature microRNA	1.83E-03	DNAJA2,DNAJB1	 
PLIN3	other	1.83E-03	BAX,BCL2	 
PSMB2	peptidase	1.83E-03	ATG5,ATG7	 
DST	other	1.83E-03	DDIT3,HSPA5	 
IMPACT	other	1.83E-03	ATF4,DDIT3	 
GGA2	transporter	1.83E-03	GGA1,GGA3	 
CYTH3	other	1.83E-03	ARF1,ARF6	 
STXBP1	transporter	1.83E-03	NSF,STX11	 
PIGQ	enzyme	1.83E-03	PIGC,PIGH	 
Ptma	other	1.83E-03	BAX,BCL2L11	 
PRSS1	peptidase	1.83E-03	DDIT3,HSPA5	 
LPCAT1	enzyme	1.83E-03	DDIT3,DNAJB9	221 (8)
RRx-001	chemical drug	1.83E-03	DDIT3,HSPA5	 
PFK-15	chemical reagent	1.83E-03	BAX,BCL2	85 (3)
S7	chemical drug	1.83E-03	BAX,BCL2	 
SI163	chemical drug	1.83E-03	BAX,BCL2	 
S29	chemical drug	1.83E-03	BAX,BCL2	 
Mia2	other	1.83E-03	DDIT3,HSPA5	 
buformin	chemical drug	1.83E-03	ATF4,XBP1	 
daphnoretin	chemical - endogenous non-mammalian	1.83E-03	BAX,BCL2	47 (3)
XK469	chemical drug	1.83E-03	BAX,BCL2	165 (5)
talipexole	chemical drug	1.83E-03	BCL2,TP53	47 (3)
AN-207	chemical toxicant	1.83E-03	BAX,BCL2	 
SSR180575	chemical drug	1.83E-03	BAX,BCL2	47 (3)
isoalantolactone	chemical - endogenous non-mammalian	1.83E-03	BAX,BCL2	 
swainsonine	chemical - endogenous non-mammalian	1.83E-03	BAX,BCL2	270 (7)
tetrahydrouridine	chemical drug	1.83E-03	DDIT3,HSPA5	 
JTV519	chemical drug	1.83E-03	FKBP1B,RYR2	 
glycoconjugate	chemical - other	1.83E-03	MGAT3,MGAT5	 
L-canavanine	chemical - endogenous non-mammalian	1.83E-03	BAG3,HSPB8	 
EIF5A2	translation regulator	1.87E-03	ATF4,DDIT3,HERPUD1,HSPA5,HSPA6,SDF2L1,XBP1	 
mir-122 (includes others)	microRNA	1.93E-03	ARHGAP1,BICD1,FKBP1A,FUT8,GALNT10,GIT1,HMGCR,IGF1R,PLIN3,PTPN1,TP53,VAMP3	 
PDX1	transcription regulator	1.97E-03	ATF4,ATG5,ATP2A2,ATP2A3,CSNK2B,DNAJC10,EDEM3,ERO1A,ERO1B,FUT1,GALNT18,HSPA5,IGF1R,MAN1A1,PDIA4,PDIA6,RABGAP1L,WFS1	 
cryptotanshinone	chemical drug	2.03E-03	BAX,BCL2,DDIT3,TNFRSF10B,TP53	118 (5)
sertraline	chemical drug	2.03E-03	ATF4,BCL2,DDIT3,MTOR,TP53	86 (3)
miR-1-3p (and other miRNAs w/seed GGAAUGU)	mature microRNA	2.08E-03	AP3B1,AP3D1,ARCN1,ARF3,ARF4,AXL,BCL2,CHST11,CHSY1,DNAJB1,PPIB,RAB11FIP2,RABGAP1L,RFT1,SEC23IP,SERP1,TRAPPC3,UST	 
ZC3HAV1	other	2.11E-03	ATF4,DDIT3,GET1,HSPA8,SEC31A,XBP1	 
1-methyl-4-phenylpyridinium	chemical toxicant	2.11E-03	ATF4,BAG6,BAX,BCL2L11,DDIT3,TP53	343 (14)
vitamin K3	chemical drug	2.15E-03	ATF4,BAX,BCL2,DDIT3,HSPA5,SIAH2,TP53	295 (13)
LDL (complex)	complex	2.22E-03	AP1G1,ATF6,ATP2A2,AXL,BAX,BCL2,BCL2L11,CAPN1,CAPN2,DDIT3,FUT8,HAS2,HAS3,HMGCR,HSP90B1,HSPA5,HSPA6,HYOU1,IGF1R,ITPR1,ITPR2,PLIN2,PSMC5,RABEP1,RYR2,TP53,UBE2K,XBP1	300 (12)
VHL	transcription regulator	2.26E-03	AKT1,ARPC1A,ATF4,BCL2,BCL2L11,CLTC,COPS5,GAL3ST1,IGF1R,NEU3,PPIL1,PREB,SEC61G,TMED3,TP53	273 (10)
IDH1	enzyme	2.35E-03	ATF4,DDIT3,EDEM1,EIF2AK3,HERPUD1,HMGCR,MAPK10,RAB25,SERPINH1,TP53	138 (6)
nelfinavir	chemical drug	2.35E-03	ARHGEF2,ATF4,ATP2A3,DDIT3,DGAT1,HERPUD1,PPP1R15B,TNFRSF10B,ULK1,XBP1	 
PEMT	enzyme	2.36E-03	DDIT3,DERL2,HERPUD1,HSPA5	278 (10)
SQLE	enzyme	2.40E-03	ATF4,DDIT3,HSPA5	 
GNE	kinase	2.40E-03	DDIT3,ST3GAL5,ST8SIA1	 
APAF1	other	2.40E-03	BCL2,DDIT3,HSPA5	 
CASQ2	other	2.40E-03	CALR,CASQ2,RYR2	 
GNL1	other	2.40E-03	BAX,BCL2,TP53	 
CAPNS1	peptidase	2.40E-03	CAPN1,CAPN2,PIK3CA	47 (3)
PLAC8	other	2.40E-03	ATG5,BECN1,TP53	 
STF 083010	chemical reagent	2.40E-03	DNAJB9,NCOA3,XBP1	 
calpain inhibitor 2	chemical - protease inhibitor	2.40E-03	BAX,HSP90B1,TP53	48 (3)
I-BET-151	chemical reagent	2.47E-03	BCL2,CHST14,DDIT3,DNAJC6,HSPA5,RAB27A,TNFRSF10B	 
UXT	transcription regulator	2.48E-03	B4GALT1,FKBP5,KDELR3,PSMD5,SEC24D,TNFRSF10B	 
ADORA2A	G-protein coupled receptor	2.58E-03	AKT2,ARF3,ARHGEF7,ATP2A2,B4GALT3,CCT5,DGAT2,GPLD1,NAPA,NAPB,P4HB,RAB3A,RAB6A,ROCK1	 
puromycin aminonucleoside	chemical reagent	2.63E-03	A3GALT2,ACTR3,BAX,CAPN6,EXOC2,EXOC3,EXOC4,EXOC5,EXOC7,HSPA5,PSMB10,PSMB8	 
UMOD	other	2.81E-03	ATG5,ATG7,BECN1,CSNK2A1,EIF2AK3,MAPK10,MAPK9,PRKN	 
ATP2B2	transporter	2.81E-03	BAX,BCL2,CALR,DDIT3,HSPA5,RAB11A,XBP1	238 (8)
ouabain	chemical drug	2.81E-03	DDIT3,EIF2AK4,HSPA5,HSPA8,HSPA9,TNFRSF10B,TP53	157 (4)
PIN1	enzyme	2.82E-03	ATF4,ATF6,BAX,BTK,DDIT3,DNAJB9,HSPA5,MAPK8,PML,XBP1	272 (11)
gentamicin	chemical drug	2.85E-03	ARF6,ARHGAP5,BAX,CALR,DDIT3,DNAJA2,DNAJB4,EXOC1,EXOC3,EXTL3,FMO1,HSP90AA1,HSP90B1,HSPA1A/HSPA1B,HSPA5,HSPB1,HYOU1,PDIA4,PLIN2,PSMB8,PTPN1,SEC22B,ST3GAL6,ST6GALNAC3,TP53,UBQLN1,UGT8	 
FN1	other	2.86E-03	ACTR2,BCL2,CANX,CAPN2,CCT4,COPS5,CSNK2A1,CTBP1,IRS1,MAPK8,MTOR,PREB,PSMC1,SEC23B,SNAP23,TNFRSF10B,TOR1A,UBE4B,VPS45	237 (7)
zerumbone	chemical - endogenous non-mammalian	3.06E-03	ATF4,BCL2,DDIT3,TNFRSF10B,TP53	171 (8)
WFS1	enzyme	3.06E-03	DDIT3,ERO1A,HSPA5,WFS1,XBP1	160 (4)
MMP11	peptidase	3.06E-03	ATF4,ATF6,PSMB1,PSMD1,XBP1	 
ANGPTL4	other	3.06E-03	DDIT3,DGAT2,ERN1,PLIN2,XBP1	 
PTGS2OS2	other	3.11E-03	BAX,DDIT3,EIF2A,EIF2AK3	 
intralipid	chemical drug	3.11E-03	DDIT3,ERN1,PLIN2,XBP1	160 (4)
pyrimidin-2-one beta-ribofuranoside	chemical reagent	3.11E-03	BCL2,CRYAA/LOC102724652,HSPA5,TP53	 
AF-2364	chemical reagent	3.11E-03	ACTR3,AKT1,PIK3CA,RAB8B	 
methyl methanesulfonate	chemical toxicant	3.14E-03	ARFGAP3,ATF4,DDIT3,HERPUD1,HSPA5,SYVN1,TP53,TRIM22	200 (6)
NUPR1	transcription regulator	3.34E-03	ABL2,ALG8,B3GAT3,B3GNT5,CCNF,CNIH2,DDIT3,EXTL2,FUCA1,FUT11,GCNT2,HSPA2,IGF1R,ITPR3,JKAMP,KIF20A,KIF23,LMAN2L,MKKS,NCKIPSD,NSF,RAB11FIP5,RAB17,RAB20,RAB29,RAB32,RAB38,RAB39B,ST3GAL2,ST6GALNAC6,STX3,SYTL2,TP53,TRIM16,VPS45,XBP1	 
NFYB	transcription regulator	3.34E-03	BCL2,BCL2L11,BET1,CAPN12,CAPN3,CCT6B,DNAJB6,GALNT2,HSPA13,PDIA4,PGRMC1,PSMB7,PSMC6,RAB3C,ST8SIA4,STX16,TBC1D22A,TMBIM6,TXNDC12,UBE2D3,VPS39,VPS52	 
CDKN1B	other	3.36E-03	B4GALT5,BCL2,BTK,CAPN1,CCT6A,CLPB,COPS5,CYTH1,HSPA5,HSPB8,RAB3A,RYR2,TP53	57 (3)
APOB	transporter	3.38E-03	PSMA7,PSMB7,PSMB9,PSMC6,PSME2,UBE2D3	 
CAT	enzyme	3.50E-03	ATG5,ATG7,BAK1,BAX,HSPA4,IGF1R,TNFRSF10B,TP53	413 (14)
mir-204 (includes others)	microRNA	3.52E-03	ATF4,BCL2,BCL2L11,DDIT3,ITPR1,ROCK1,SNAP25,STX1A,VAMP2	266 (7)
black raspberry extract	chemical drug	3.54E-03	ACTR2,AP3S1,ARPC2,COPS5,HSP90AA1,PSMA6,RAB1A,RAD23B,TMED2,UBXN4,USO1,USP14	 
miR-155-5p (miRNAs w/seed UAAUGCU)	mature microRNA	3.56E-03	ANKFY1,ARFIP1,ARFIP2,BCL2L11,BET1,DNAJB1,RAB23,RAB27B,RAB34,RAB5C,RAB6A,SNAP29,TRAM1,TXNDC12,UBE2J1,VAMP3	 
YAP/TAZ (family)	group	3.62E-03	ATF4,AXL,FUCA1,HSPA1A/HSPA1B,HSPB1,PSMB10,TRIM22	 
H1-6	other	3.67E-03	ARPC5,B4GALT5,COPS7B,CYTH1,FKBP4,HSPA4,MAN2B1,MANBA,OGT,PGAP4	 
H1f1	other	3.67E-03	ARPC5,B4GALT5,COPS7B,CYTH1,FKBP4,HSPA4,MAN2B1,MANBA,OGT,PGAP4	 
GPX4	enzyme	3.69E-03	ERP44,PDIA3,PDIA5,PDIA6,TMX1	 
topotecan	chemical drug	3.72E-03	AKT1,ARHGAP24,ARPC1B,ASAP2,ASAP3,ATF4,ATF6B,BAG1,CSNK2A1,EXOC6B,HS3ST1,HSPA1A/HSPA1B,HSPA1L,HSPA8,IRS1,KDELR2,MAP2K7,MAPK9,MGAT2,PRKN,RAB10,RAB24,RAB5A,RAB9A,TP53,TRAP1,VPS37C	210 (6)
SFTPA2	other	3.72E-03	DDIT3,HSPA5,XBP1	 
UFL1	enzyme	3.72E-03	CANX,DDIT3,HSPA5	 
PNPLA8	enzyme	3.72E-03	DGAT1,HSP90B1,HSPA5	147 (7)
antisense oligonucleotide	biologic drug	3.72E-03	ATXN3,IGF1R,TP53	 
NFE2L3	transcription regulator	3.72E-03	POMP,RAB27A,TP53	 
HINT1	enzyme	3.72E-03	BAX,BCL2,TP53	 
DDAH1	enzyme	3.72E-03	BAX,BCL2,PRDX4	 
EIF2AK1	kinase	3.72E-03	BAG3,DDIT3,HSPB8	 
UACA	other	3.72E-03	CAPN1,DDIT3,HSPA5	35 (4)
methoxychlor	chemical toxicant	3.72E-03	BAX,HSP90AB1,HSP90B1	 
ANXA2	other	3.92E-03	AKT1,BAX,MTOR,TNFRSF10B,TP53,ULK1	 
MYL2	other	3.92E-03	CALR,CASQ2,HSPA5,PDIA3,RYR1,RYR2	 
HSPG2	enzyme	3.92E-03	BCL2,BECN1,HSP90AA1,PRKN,RAB24,RAB9B	 
PNPLA2	enzyme	3.99E-03	BAX,BCL2,DGAT2,HSPA5,IRS1,PDIA2,PLIN2,PLIN3,TP53,ULK1	382 (15)
soloxolone methyl	chemical reagent	4.01E-03	BAX,DDIT3,ERN1,HSPA5	 
DGAT1	enzyme	4.01E-03	DDIT3,DGAT1,DGAT2,HSPA5	256 (9)
DDX25	enzyme	4.08E-03	BAG1,BAK1,BCL2,DNAJB4,DNAJB7,DNAJC5B,HMGCR,HSPA1L,ST6GALNAC2,TRIM36,UBE2G2,UBQLNL	 
MASTL	kinase	4.09E-03	ARHGEF2,ASAP1,ATP2A2,COPG2,HYOU1,RAB11FIP1,UBQLN2	 
plicamycin	chemical drug	4.38E-03	AKT2,AXL,B4GALT5,BAK1,HMGCR,NAPA,RAB11FIP1,SLC35C1,SNAP25,STX1A,TP53,XYLT1	56 (3)
IMMUNOGLOBULIN (complex)	complex	4.40E-03	ACTR2,AGAP2,AGAP3,AKT1,AKT3,AP3B2,AP3D1,AP3M2,AP3S2,ARFGAP1,ARHGEF2,ARPC1A,ARPC3,ASAP3,ATF6,ATG5,ATG7,AXL,BAK1,BAX,BCL2,BCL2L11,BECN1,BTK,CALR,CAPN8,CHST2,CLTA,CLTB,CNIH3,CTSA,DGAT2,DNAJC6,EIF2A,EIF2AK2,EIF2AK3,EXT1,FKBP1A,FKBP5,FOXO1,HEXB,HSPA12A,HSPA6,IGF1R,IQSEC1,MAPK10,MAPK8,MGAT4A,MICAL2,MTOR,NAPB,NAPG,NCKIPSD,NSF,OPTN,PDIA6,PICK1,PML,PSMB6,PSMB8,PSMB9,RAB11FIP1,RAB31,RAB3A,ROCK2,RRBP1,RYR1,SLC33A1,SLC35C2,SNAP25,SNAP47,ST6GAL1,STX1A,STX1B,STXBP5,TP53,TRPV1,USP19,VPS16,XBP1	326 (12)
plumbagin	chemical drug	4.41E-03	BAK1,BAX,BCL2,TNFRSF10B,TP53	220 (7)
FAM83A	other	4.41E-03	BAK1,BAX,BCL2,DGAT1,DGAT2	50 (3)
PNO1	other	4.41E-03	ATG5,ATG7,BAX,BCL2,BECN1	 
CDN1163	chemical reagent	4.41E-03	ATF4,DDIT3,DGAT2,EDEM1,HSP90B1	221 (8)
BECN1	other	4.51E-03	BAX,BCL2,BCL2L11,BECN1,PIK3C3,ULK1	265 (8)
histone deacetylase inhibitor	chemical drug	4.51E-03	ABL1,BAK1,BAX,BCL2,BCL2L11,TP53	302 (9)
glutamine	chemical - endogenous mammalian	4.67E-03	ATF4,ATF6,ATG5,ATG7,BCL2L11,DDIT3,DNAJA2,HSPA1A/HSPA1B,HSPA5,PICK1,TP53,VCP,XBP1	394 (15)
KPNB1	other	5.07E-03	ATXN3,BCL2,TNFRSF10B,TP53	47 (3)
zinostatin	biologic drug	5.07E-03	BAX,BCL2,IGF1R,TP53	 
MK2206	chemical drug	5.15E-03	ATF4,BAX,BCL2,BCL2L11,BECN1,FOXO1,TMED10	268 (9)
ethylene glycol tetraacetic acid	chemical reagent	5.16E-03	ATP2A2,BAX,BCL2,CASP12,DDIT3,HSPA5	307 (13)
apomorphine	chemical drug	5.16E-03	BAX,BCL2,DDIT3,HSPA5,IGF1R,PDIA4	142 (3)
L-tyrosine	chemical - endogenous mammalian	5.33E-03	BAX,BCL2	213 (5)
extremely high molecular weight hyaluronic acid	chemical reagent	5.33E-03	BAX,TP53	 
IRS (family)	group	5.33E-03	DGAT1,DGAT2	 
2,5-dimethylcelecoxib	chemical reagent	5.33E-03	DDIT3,HSPA5	 
TTC5	other	5.33E-03	BAX,TP53	 
CPA1	peptidase	5.33E-03	DDIT3,HSPA5	 
TMEM38B	ion channel	5.33E-03	ATF4,EIF2S1	 
CKLF	cytokine	5.33E-03	BAX,BCL2	 
ATP13A2	transporter	5.33E-03	ATF4,DDIT3	 
xenon	chemical drug	5.33E-03	BCL2,TP53	 
ECD	transcription regulator	5.33E-03	ATF4,HSPA5	135 (6)
GEM231	chemical drug	5.33E-03	BAX,BCL2	 
cerebrolysin	chemical drug	5.33E-03	BAX,BCL2	 
ZMAT3	other	5.33E-03	BAX,TP53	47 (3)
PDI (family)	group	5.33E-03	DDIT3,HSPA5	159 (4)
PRKCSH	enzyme	5.33E-03	PKD1,PKD2	 
CTPS1	enzyme	5.33E-03	BAX,BCL2	 
mir-1297	microRNA	5.33E-03	BAX,BCL2	85 (3)
P4HB	enzyme	5.33E-03	PDIA3,PDIA4	 
CYTH1	other	5.33E-03	ARF1,ARF6	 
FR 180204	chemical drug	5.33E-03	CASP12,DDIT3	 
EIF2B1	translation regulator	5.33E-03	ATF4,DDIT3	 
SNF8	enzyme	5.33E-03	VPS25,VPS36	 
AP2A2	transporter	5.33E-03	BAX,BCL2	141 (3)
MT3	other	5.33E-03	BAX,BCL2	 
SB-657510	chemical reagent	5.33E-03	ATP2A2,MTOR	 
UNC 0642	chemical reagent	5.33E-03	ATG7,BECN1	 
OPC-13213	chemical reagent	5.33E-03	BAX,BCL2	 
lanthanum chloride	chemical reagent	5.33E-03	AXL,BAX	 
lead nitrate	chemical toxicant	5.33E-03	BAX,BCL2	 
imisopasem manganese	chemical drug	5.33E-03	BAX,BCL2	 
CA-074	chemical reagent	5.33E-03	BAX,BCL2	 
CDP ethanolamine	chemical - endogenous mammalian	5.33E-03	BAX,BCL2	 
phosphatidylcholine	chemical - endogenous mammalian	5.40E-03	BAX,BCL2,DDIT3	 
A-443654	chemical drug	5.40E-03	DDIT3,HSPA5,MTOR	 
ENDOG	enzyme	5.40E-03	ATF6,EIF2AK3,ERN1	139 (8)
PRESENILIN (family)	group	5.40E-03	FKBP8,PML,RYR2	 
SRPK1	kinase	5.40E-03	AKT1,ATF4,DDIT3	 
di-spiropyrrolizidino oxindole andrographolide derivative CY2	chemical reagent	5.40E-03	BAX,BCL2,TP53	197 (6)
ZNF567-DT	other	5.40E-03	ATF4,EIF2A,EIF2AK3	 
AP3B1	transporter	5.40E-03	AP3D1,AP3M1,AP3S1	 
arachidic acid	chemical - endogenous mammalian	5.40E-03	EIF2A,EIF2AK3,XBP1	 
PML	transcription regulator	5.50E-03	BAX,DNAJA4,DNAJB4,DNAJB6,DNAJB9,DNAJC9,HMGCR,HSPB1,NSFL1C,PML,PSMB8,PSMB9,SLC35A2,TP53,UBE2M	280 (12)
miR-204-5p (and other miRNAs w/seed UCCCUUU)	mature microRNA	5.52E-03	ARPC1B,ATF4,BCL2,BCL2L11,ITPR1,ROCK1,SNAP25,STX1A,VAMP2	 
ESR2	ligand-dependent nuclear receptor	5.60E-03	A4GALT,AKT1,ARHGEF7,B4GALT1,BAG1,BCL2,CANX,CAPN2,CCT3,CCT4,CCT7,CHST15,CHST2,CYTH4,DNAJC1,ERN1,FKBP5,FOXO1,GALNT7,GLB1,GOSR2,HMGCR,HSPA2,HYOU1,IGF1R,KDELR3,LMAN1,MGAT3,PLIN2,PLOD3,PSMA4,PSMB9,PSMC4,PSMD14,PSMD7,PSME1,RAB4A,ROCK1,SEC24D,SPCS3,SRPRB,SSR1,ST8SIA1,ST8SIA4,ST8SIA6,STX11,TBC1D4,TPST2,TRIM25,UBE2E1,UBE2J1,USP19	408 (10)
mir-17 (includes others)	microRNA	5.70E-03	AKT1,BCL2L11,BECN1,MAP3K5,MAPK8,MAPK9,NCOA3,PKD1,PKD2,PSMD13,ROCK2	275 (6)
